is_member_true,score_lr,score_rf,pred_lr,pred_rf
1,0.502555335918946,0.63,1,1
1,0.4992369352045998,0.58,0,1
1,0.4998792704803213,0.55,0,1
1,0.5029504813276654,0.63,1,1
1,0.49955894074428586,0.57,0,1
1,0.5020819750517418,0.605,1,1
1,0.5012063283017263,0.595,1,1
1,0.5008206102268028,0.56,1,1
1,0.4992510283491967,0.595,0,1
1,0.5005572847919586,0.575,1,1
1,0.5027571040065495,0.64,1,1
1,0.5009143462202216,0.58,1,1
1,0.5018414946170259,0.615,1,1
1,0.5012450339550716,0.595,1,1
1,0.5012474587102835,0.595,1,1
1,0.49972114065693984,0.585,0,1
1,0.5001054251007405,0.565,1,1
1,0.500777985259866,0.59,1,1
1,0.5028362179285794,0.64,1,1
1,0.5015385838443003,0.63,1,1
1,0.5004803112608966,0.59,1,1
1,0.4998451511466881,0.565,0,1
1,0.5015113709006431,0.64,1,1
1,0.49951765408451443,0.565,0,1
1,0.501574118115834,0.62,1,1
1,0.49953819071781186,0.585,0,1
1,0.5027620567682498,0.64,1,1
1,0.500180239395172,0.57,1,1
1,0.4996382973550491,0.555,0,1
1,0.5029335296141119,0.64,1,1
1,0.5021304612873404,0.61,1,1
1,0.5016327609072389,0.635,1,1
1,0.5027125573921872,0.65,1,1
1,0.4997958940095906,0.565,0,1
1,0.5028496714938504,0.63,1,1
1,0.49966288491802213,0.57,0,1
1,0.5010099074083938,0.59,1,1
1,0.49915727125782505,0.57,0,1
1,0.5028375894587677,0.64,1,1
1,0.5027330585676096,0.645,1,1
1,0.5004450474889588,0.595,1,1
1,0.5002243838657593,0.575,1,1
1,0.5025789039161473,0.65,1,1
1,0.499880901127558,0.605,0,1
1,0.5023923405752285,0.635,1,1
1,0.499727062076315,0.57,0,1
1,0.49950190520321414,0.58,0,1
1,0.5006318938515304,0.585,1,1
1,0.5007150844258567,0.57,1,1
1,0.502958547118458,0.64,1,1
1,0.5000180238811317,0.55,1,1
1,0.5005580134903849,0.575,1,1
1,0.4996091147540099,0.575,0,1
1,0.5015190704068991,0.64,1,1
1,0.5028712709856559,0.64,1,1
1,0.5013178605711444,0.63,1,1
1,0.5015173275363423,0.64,1,1
1,0.4998857905234576,0.55,0,1
1,0.5011241166930416,0.625,1,1
1,0.5020764524586286,0.605,1,1
1,0.5030114736350363,0.645,1,1
1,0.5016719835688153,0.635,1,1
1,0.5006191827852025,0.59,1,1
1,0.5006150632203956,0.585,1,1
1,0.4997928021485791,0.565,0,1
1,0.5019860684933724,0.605,1,1
1,0.5008101256497087,0.57,1,1
1,0.5027066864534063,0.65,1,1
1,0.5008557236272341,0.575,1,1
1,0.5025849141593365,0.65,1,1
1,0.5024812013094221,0.625,1,1
1,0.4994468456286786,0.58,0,1
1,0.5016794324824045,0.605,1,1
1,0.500818761054726,0.565,1,1
1,0.5014946507276034,0.635,1,1
1,0.5025208918257128,0.635,1,1
1,0.5006754234194357,0.58,1,1
1,0.5028270872406063,0.645,1,1
1,0.5009100783023154,0.58,1,1
1,0.5025569992082909,0.635,1,1
1,0.5019522713931935,0.625,1,1
1,0.4999497417875682,0.55,0,1
1,0.4991806594723919,0.585,0,1
1,0.49967602014053764,0.595,0,1
1,0.5028017878763384,0.63,1,1
1,0.4993067214103782,0.59,0,1
1,0.5023810132083485,0.64,1,1
1,0.5013829285621739,0.655,1,1
1,0.5008962048702462,0.585,1,1
1,0.5016668807255595,0.605,1,1
1,0.5022003239756431,0.645,1,1
1,0.49962361915989234,0.6,0,1
1,0.5015816557212924,0.61,1,1
1,0.5011128116170351,0.62,1,1
1,0.501598521841212,0.625,1,1
1,0.5005440652376684,0.6,1,1
1,0.5015288527592564,0.645,1,1
1,0.499183470790904,0.58,0,1
1,0.5029641462352661,0.635,1,1
1,0.4992989354486835,0.585,0,1
1,0.5029279309692442,0.645,1,1
1,0.5008112153085873,0.565,1,1
1,0.5012109599247797,0.595,1,1
1,0.500871838992374,0.585,1,1
1,0.501839819889396,0.615,1,1
1,0.5021706861280822,0.615,1,1
1,0.5008582703748206,0.585,1,1
1,0.5013075433144863,0.61,1,1
1,0.5030118771090047,0.645,1,1
1,0.5029692199005409,0.65,1,1
1,0.4993522252538622,0.56,0,1
1,0.5013069457138178,0.61,1,1
1,0.501667960335586,0.635,1,1
1,0.5021464802356929,0.595,1,1
1,0.499993687826566,0.555,0,1
1,0.5014361660203396,0.645,1,1
1,0.5011195542881308,0.62,1,1
1,0.49985760261099543,0.6,0,1
1,0.499433065366759,0.58,0,1
1,0.5001581654499284,0.565,1,1
1,0.4999356377963646,0.55,0,1
1,0.49965244330243885,0.6,0,1
1,0.5003208503116556,0.56,1,1
1,0.5013701698825628,0.65,1,1
1,0.5015777893768727,0.61,1,1
1,0.5022110614083705,0.645,1,1
1,0.5016911272231172,0.605,1,1
1,0.5026768306600645,0.65,1,1
1,0.5023568707066779,0.64,1,1
1,0.5009541029676378,0.585,1,1
1,0.5005887491482167,0.555,1,1
1,0.5028013150314944,0.63,1,1
1,0.49939108990783826,0.585,0,1
1,0.5014550980014691,0.645,1,1
1,0.5014882935568007,0.585,1,1
1,0.5022861097233563,0.645,1,1
1,0.4992693780333864,0.575,0,1
1,0.4999850737074764,0.55,0,1
1,0.5001885622376786,0.59,1,1
1,0.500975342673994,0.585,1,1
1,0.5017494842497706,0.59,1,1
1,0.5012152505890449,0.58,1,1
1,0.5025379866311614,0.63,1,1
1,0.5029718602484956,0.65,1,1
1,0.5003622751092244,0.58,1,1
1,0.5029887762777152,0.65,1,1
1,0.5011261768759313,0.62,1,1
1,0.5028879563274873,0.64,1,1
1,0.5018590616581713,0.615,1,1
1,0.5005035169507615,0.59,1,1
1,0.502662517346398,0.65,1,1
1,0.501487267069147,0.585,1,1
1,0.499975871165128,0.6,0,1
1,0.5004414613577683,0.595,1,1
1,0.5011128351062881,0.62,1,1
1,0.5025179424108059,0.635,1,1
1,0.50025225813521,0.57,1,1
1,0.5020679621211831,0.605,1,1
1,0.502520382138716,0.635,1,1
1,0.4997172170075799,0.565,0,1
1,0.5017103872221887,0.6,1,1
1,0.49970845400639147,0.565,0,1
1,0.5029512298991611,0.635,1,1
1,0.4994776440493304,0.58,0,1
1,0.5015542600516343,0.625,1,1
1,0.5017232670574844,0.595,1,1
1,0.5012121616951254,0.59,1,1
1,0.5002898314834185,0.58,1,1
1,0.5013593114361236,0.62,1,1
1,0.500557065337653,0.575,1,1
1,0.5016174706656839,0.605,1,1
1,0.5001181147895766,0.56,1,1
1,0.5004355233134631,0.595,1,1
1,0.5003349048413575,0.56,1,1
1,0.5027458472560199,0.64,1,1
1,0.4999459749959332,0.555,0,1
1,0.5008197516148369,0.565,1,1
1,0.5014472596793192,0.6,1,1
1,0.5009986284851695,0.585,1,1
1,0.5008947571623164,0.585,1,1
1,0.4996789219223788,0.565,0,1
1,0.5013323355993602,0.61,1,1
1,0.5013031065792902,0.605,1,1
1,0.4995345714055025,0.575,0,1
1,0.5004138283373457,0.565,1,1
1,0.5003950562551652,0.595,1,1
1,0.501509688805535,0.64,1,1
1,0.5011683567517626,0.62,1,1
1,0.5026233490633168,0.645,1,1
1,0.499282644963719,0.57,0,1
1,0.5015441570836026,0.63,1,1
1,0.5022028660633824,0.645,1,1
1,0.5008636161080081,0.57,1,1
1,0.4994369646422112,0.595,0,1
1,0.5005484561876727,0.595,1,1
1,0.4993008760426796,0.585,0,1
1,0.5012845091005507,0.595,1,1
1,0.5026644933039799,0.65,1,1
1,0.5016030414830859,0.63,1,1
1,0.5014714718391612,0.635,1,1
1,0.50271933686262,0.655,1,1
1,0.5010601106490672,0.615,1,1
1,0.5024882926233053,0.63,1,1
1,0.5004184880242627,0.595,1,1
1,0.5020973597974212,0.6,1,1
1,0.49974585185614595,0.57,0,1
1,0.5011030006178198,0.605,1,1
1,0.5009038884138374,0.585,1,1
1,0.5029821827025084,0.655,1,1
1,0.5014701932005445,0.585,1,1
1,0.5014588083654605,0.64,1,1
1,0.4999856200474374,0.56,0,1
1,0.5001032773501629,0.57,1,1
1,0.5003201473502896,0.58,1,1
1,0.5011326401022405,0.62,1,1
1,0.4996270327446737,0.57,0,1
1,0.5005289693320529,0.59,1,1
1,0.502374294380249,0.64,1,1
1,0.5015927687570869,0.6,1,1
1,0.49917806666851455,0.58,0,1
1,0.5017340086713394,0.595,1,1
1,0.5029039554534416,0.64,1,1
1,0.501366246264132,0.645,1,1
1,0.5014574082504922,0.64,1,1
1,0.5026501911446997,0.65,1,1
1,0.4996856414865653,0.565,0,1
1,0.5029162736633876,0.645,1,1
1,0.50228014910033,0.64,1,1
1,0.49920184411476126,0.575,0,1
1,0.4996130768355734,0.57,0,1
1,0.5003985788309984,0.56,1,1
1,0.49955354946122704,0.57,0,1
1,0.4995136745922901,0.59,0,1
1,0.5007019057452672,0.57,1,1
1,0.49995592816392215,0.55,0,1
